data_name,method,consensus_accuracy,exposure_ratio,consensus_ranking,group_0,group_1,group_0_avg_exp,group_1_avg_exp
DublinNorth,KEMENY,0.6524254009234894,0.9782269137736196,[ 9  8  1  3  5 11  6  0  4  7 10  2],male,female,0.42594071048334625,0.41666666666666663
DublinNorth,EPIK,0.6524254009234894,0.9782269137736196,[ 9  8  1  3  5 11  6  0  4  7 10  2],male,female,0.42594071048334625,0.41666666666666663
DublinNorth,FAIRKEMENY,0.6514903265312878,0.8235302429101305,[ 9  8  3  5  1 11  6  0  4  7 10  2],male,female,0.43725542975989207,0.36009307028393744
DublinNorth,EPIRA+Kemeny,0.6524254009234894,0.9782269137736196,[ 9  8  1  3  5 11  6  0  4  7 10  2],male,female,0.42594071048334625,0.41666666666666663
DublinNorth,EPIRA+Copeland,0.6524254009234894,0.9782269137736196,[ 9  8  1  3  5 11  6  0  4  7 10  2],male,female,0.42594071048334625,0.41666666666666663
DublinNorth,EPIRA+Schulze,0.6524254009234894,0.9782269137736196,[ 9  8  1  3  5 11  6  0  4  7 10  2],male,female,0.42594071048334625,0.41666666666666663
DublinNorth,EPIRA+Borda,0.6515234265097728,0.9782269137736196,[ 9  8  1  3  5 11  6  0  4  7  2 10],male,female,0.42594071048334625,0.41666666666666663
DublinNorth,EPIRA+Maximin,0.6496284527415057,0.9782269137736196,[ 9  8  1  3  5 11  6  0  4  2  7 10],male,female,0.42594071048334625,0.41666666666666663
DublinNorth,RAPF,0.5841815202820119,0.6018560016350368,[ 6  9  3  5 11  8  7  4  0 10  2  1],male,female,0.38225022837394756,0.6351190772136599
DublinNorth,PRE-FE,0.6492726279727918,0.8944168291311324,[ 9  8  1  6  3  5 11  0  4  7 10  2],male,female,0.41620638800934023,0.46533827903669656
